wordpress.com,192.0.78.9
amazon.com,176.32.98.166
tudou.com,106.11.47.20
apple.com,17.142.160.59
windows.com,40.113.200.201
hao123.com,123.125.114.5
ebay.com,66.135.216.190
xunlei.com,39.104.39.191
fc2.com,34.215.167.11
paypal.com,64.4.250.36
sogou.com,119.28.109.132
tmall.com,140.205.130.99
ku6.com,117.50.1.222
rakuten.co.jp,133.237.61.176
about.com,151.101.193.121
yahoo.co.jp,182.22.59.229
facebook.com,157.240.28.35
youtube.com,172.217.1.206
yahoo.com,72.30.35.9
live.com,204.79.197.212
wikipedia.org,208.80.153.224
msn.com,13.82.28.61
baidu.com,123.125.114.144
blogspot.com,172.217.2.9
microsoft.com,40.112.72.205
qq.com,111.161.64.40
taobao.com,140.205.94.189
bing.com,204.79.197.200
sohu.com,221.179.177.36
soso.com,118.191.216.57
56.com,221.5.34.99
ask.com,151.101.70.114
163.com,123.58.180.7
adobe.com,192.147.130.204
pps.tv,101.227.188.174
twitter.com,104.244.42.65
youku.com,106.11.186.1
andysayler.com,138.197.228.157
wmfo.org,23.92.21.128
ifeng.com,123.103.122.24
mozilla.com,63.245.208.194
bbc.co.uk,151.101.128.81
yandex.ru,5.255.255.70
myspace.com,63.135.90.70
sina.com.cn,202.108.33.107
cnet.com,64.30.228.118
go.com,23.236.60.174
4399.com,118.184.184.70
orkut.com,216.239.32.21
skype.com,40.115.34.155
ameblo.jp,104.106.28.122
goo.ne.jp,153.254.147.65
naver.com,125.209.222.141
4shared.com,204.155.149.43
amazon.co.jp,52.119.168.48
mail.ru,94.100.180.202
linkedin.com,108.174.10.10
dailymotion.com,195.8.215.136
aol.com,124.108.115.87
imdb.com,52.94.225.248
flickr.com,69.147.88.7
hotmail.com,204.79.197.212
360.cn,101.198.193.22
craigslist.org,208.82.237.226
soku.com,106.11.186.1
alibaba.com,205.204.101.42
weather.com,23.79.192.175
livedoor.jp,203.104.153.16
renren.com,120.133.2.243
blogger.com,172.217.11.233
answers.com,151.101.128.203
rapidshare.com,0.0.0.0
daum.net,211.231.99.17
7k7k.com,101.200.128.82
2345.com,42.62.30.180
photobucket.com,209.17.68.100
mediafire.com,104.19.195.29
ehow.com,23.227.13.162
seesaa.net,143.204.31.109
vkontakte.ru,95.213.4.228
alipay.com,110.75.129.5
softonic.com,35.190.12.174
nifty.com,222.158.213.148
imageshack.us,208.94.3.18
cnn.com,151.101.1.67
tianya.cn,124.225.65.154
mywebsearch.com,74.113.237.222
zynga.com,99.84.254.110
partypoker.com,195.72.134.116
hp.com,15.73.104.147
walmart.com,161.170.239.170
kugou.com,183.131.48.92
ebay.de,66.211.181.235
youdao.com,61.135.218.30
hotfile.com,18.207.9.28
qiyi.com,101.227.188.170
pconline.com.cn,219.136.245.40
odnoklassniki.ru,5.61.23.11
jp.msn.com,13.88.15.24
orkut.com.br,
sdjjdsaf.com,
paipai.com,
megaupload.com,
